cout_prime,credit_card_number,credit_card_provider,credit_card_expire,freq_pmt
1100.77,180057966733794,JCB 15 digit,03/18,12
990.33,5335619559714581,Discover,11/19,12
1170.39,5251368069337257,VISA 16 digit,09/25,12
740.15,180043563212978,JCB 16 digit,04/24,1
1150.21,3158054304186795,Diners Club / Carte Blanche,09/26,12
700.22,30060280218882,JCB 16 digit,04/19,12
950.49,4490184466323,VISA 13 digit,04/24,12
960.39,6011478728900756,Maestro,12/26,12
1040.3,675933270323,VISA 16 digit,05/19,12
690.23,3088206816954723,JCB 15 digit,03/23,12
740.24,869916640660350,VISA 13 digit,06/25,12
911.0,348200855711724,JCB 16 digit,06/19,12
1080.68,4977333095532,JCB 16 digit,09/18,12
930.12,589325498188,JCB 15 digit,04/24,12
870.71,6011382469626937,Diners Club / Carte Blanche,08/19,12
640.98,373604155358664,Discover,03/22,12
1180.26,5342431810310089,Diners Club / Carte Blanche,05/18,12
780.02,561264674566,JCB 16 digit,09/18,1
930.12,3096608656008918,JCB 16 digit,07/18,12
710.01,5263738831078288,Maestro,06/22,12
910.26,4715837182327,Discover,03/19,12
1150.28,3337536868239683,JCB 16 digit,06/27,12
600.55,4495828969921,JCB 16 digit,11/18,1
620.72,589300772615,VISA 16 digit,04/20,12
850.59,6011859311346921,Discover,10/21,12
1030.75,5514746736787512,VISA 16 digit,01/22,12
720.79,5461539021344294,American Express,05/19,12
940.75,342423841862437,VISA 13 digit,01/20,12
820.03,4360908980047922,Discover,04/21,12
870.33,869937381701781,JCB 16 digit,02/19,12
680.56,180075604982516,JCB 16 digit,11/20,12
1100.79,376819799544126,Maestro,10/25,12
730.6,340361215643649,VISA 16 digit,07/18,1
840.96,180038196349262,JCB 16 digit,01/19,12
640.03,561274375774,VISA 16 digit,11/19,12
960.12,6011084698495833,American Express,02/24,1
1200.26,4026325605054,VISA 16 digit,07/24,12
860.93,6011576786047228,Maestro,12/18,12
1190.98,30252095462868,American Express,01/23,12
680.81,4279482877596656,Mastercard,07/22,12
600.16,30167754200260,Discover,06/20,12
870.65,869956252699023,VISA 16 digit,05/18,1
950.98,375777350010096,JCB 16 digit,09/19,12
1100.3,5166315602251283,VISA 16 digit,06/18,12
810.44,4993523989111,Mastercard,10/18,12
1150.91,6011739217356812,JCB 16 digit,03/19,12
950.01,4854530984952866,Mastercard,02/25,12
890.04,4520899552074385,Diners Club / Carte Blanche,12/19,12
850.27,3088452923191706,VISA 16 digit,08/22,12
1150.06,6011836202710134,VISA 13 digit,12/21,12
910.9,378795874438749,VISA 13 digit,03/20,12
1050.11,4628610805157781,VISA 16 digit,02/18,12
990.55,5333526409405934,American Express,06/19,12
1050.79,5136281105893194,VISA 16 digit,08/19,12
680.4,3112447708105657,Discover,05/18,12
900.89,3088080254009989,Discover,05/19,12
810.95,373431177725807,JCB 15 digit,10/22,12
1100.88,6011905868629720,JCB 16 digit,08/18,12
960.59,4397421594061781,Diners Club / Carte Blanche,11/18,12
820.99,3088313485202127,VISA 16 digit,06/22,12
840.87,30205926309963,Maestro,04/19,12
610.19,869969079433542,Voyager,01/18,12
1020.73,4316053398594135,Diners Club / Carte Blanche,05/20,12
950.55,210050175913731,VISA 16 digit,09/18,12
1090.34,501876645190,VISA 13 digit,04/18,1
960.76,869991128568052,Diners Club / Carte Blanche,01/18,12
620.7,210067751791208,VISA 16 digit,01/24,12
1020.42,3528270687327995,VISA 16 digit,04/21,12
720.67,869917945543796,VISA 16 digit,01/21,12
690.82,869948670185941,Mastercard,10/19,12
780.81,375310253278113,JCB 16 digit,03/22,12
790.87,5337715499839427,VISA 13 digit,07/24,12
1030.09,4179186412950879,VISA 16 digit,08/20,1
1020.85,347205793564938,JCB 16 digit,11/21,12
1130.6,4510773420736,Discover,08/18,12
1140.14,348312027550110,Voyager,08/24,12
610.15,3112673103848829,Discover,03/22,12
750.18,630497737613,Maestro,11/18,12
610.82,3158254803852042,Maestro,09/25,12
1160.32,4944001044524659,VISA 13 digit,05/19,1
770.64,4473304315620,Mastercard,01/18,12
1010.3,676351551962,JCB 16 digit,03/22,12
820.68,3337822302772038,JCB 16 digit,09/18,12
880.51,30044295616652,JCB 16 digit,01/23,12
990.57,869996460777997,American Express,09/18,1
1150.17,6011166388547088,Discover,04/18,12
670.83,5171038109063661,Mastercard,06/19,12
1060.32,4855724241744245,JCB 16 digit,03/19,12
940.94,4906011448946867,VISA 16 digit,07/19,1
1200.36,4692785963639472,Maestro,05/20,12
1160.55,6011421604267965,VISA 13 digit,03/20,12
1010.55,3112411032898155,Discover,05/19,1
700.76,210014653211299,Maestro,06/21,12
880.56,4658336415501,JCB 16 digit,09/19,12
1150.44,3096417517760646,JCB 16 digit,09/18,12
870.48,4159679491161826,VISA 13 digit,01/25,12
1160.34,343828660881780,VISA 16 digit,06/18,12
970.58,378300611654094,VISA 16 digit,09/18,12
600.16,6011220438216184,Voyager,09/20,1
670.93,3158183716012396,American Express,11/20,12
760.51,3337223264576774,JCB 16 digit,04/18,12
630.88,5247062847040310,Discover,08/22,12
770.2,4265283489487,American Express,05/18,1
870.71,4054178908554794,VISA 16 digit,02/20,1
1090.41,5249714009721222,JCB 16 digit,12/21,12
900.78,3528027768456337,JCB 16 digit,07/18,1
660.65,5363306444680558,Discover,12/22,12
1170.69,345965755911334,Mastercard,07/18,12
990.2,869901261259526,JCB 16 digit,05/18,1
1120.26,4186474028055072,Mastercard,09/18,12
860.41,348077971299788,JCB 15 digit,06/19,12
710.32,676216600210,Discover,10/18,12
800.57,4973450168665,Voyager,12/18,1
810.98,210031501047014,JCB 16 digit,06/21,12
830.26,4074070783697382,JCB 15 digit,12/20,12
970.64,676128862478,JCB 16 digit,03/18,12
1190.48,3337290605197008,VISA 13 digit,01/19,12
600.29,4200452682463,Discover,01/26,1
640.76,3158735786890769,Maestro,03/18,12
830.92,5363839672031722,JCB 16 digit,03/21,12
900.42,869946543541316,JCB 15 digit,03/22,12
910.49,3158206702500262,Diners Club / Carte Blanche,03/18,12
1050.62,869925638494508,Diners Club / Carte Blanche,01/19,1
730.67,5201102552474850,Voyager,07/18,12
1060.25,30589151489339,Maestro,08/25,12
1200.46,4117320992713051,Voyager,01/20,12
800.08,5293883295985281,Discover,07/22,12
1070.38,869927106729472,JCB 16 digit,07/18,1
910.2,869989619164985,VISA 16 digit,11/20,12
1090.71,3112276738506521,Discover,01/19,1
650.76,4599656668637687,Maestro,02/22,1
1140.86,6011844847683104,VISA 13 digit,02/20,12
1130.34,3096920469334377,Voyager,10/20,12
1080.03,347673844966412,American Express,01/24,12
930.65,5221647788091643,Maestro,07/21,12
1200.52,4754163524688294,Mastercard,02/21,12
1150.88,4914197797722718,VISA 13 digit,11/25,12
790.64,6011680191319204,Voyager,12/21,12
1200.68,6011634752797621,VISA 16 digit,05/24,12
840.25,6011477950851190,Voyager,11/21,1
1130.75,3158736761304628,VISA 13 digit,06/20,12
1110.08,6011657302300802,Discover,04/21,1
1100.17,30226685439452,VISA 16 digit,06/18,1
1000.24,4073943927577,Discover,03/20,1
620.51,869955517389586,American Express,06/18,12
740.27,5479143550205578,VISA 13 digit,11/18,12
950.29,6011915361821229,Voyager,10/18,12
1140.53,3337847862132455,JCB 16 digit,05/22,12
870.43,3158924719683174,VISA 13 digit,11/21,1
650.13,3096634705951122,JCB 15 digit,03/18,1
640.84,30069496721738,VISA 16 digit,08/19,12
660.24,3528060047134342,American Express,09/20,1
840.69,4467870707870725,Voyager,03/18,12
1170.51,3158807292733047,American Express,05/19,1
1050.76,3112096227408652,American Express,06/18,12
1180.06,30234042253111,VISA 13 digit,05/20,1
1090.19,4491370459353,JCB 16 digit,02/20,12
1080.41,4626343414435594,JCB 15 digit,01/19,12
1070.24,4949629177828417,Diners Club / Carte Blanche,11/18,12
790.19,4371876465387,American Express,10/18,12
890.23,5336498529653875,Maestro,08/18,12
640.03,675976319557,VISA 16 digit,05/22,12
1060.88,4615973770798491,VISA 16 digit,02/19,12
1190.71,180004649777871,American Express,12/19,12
940.42,4912058265328770,JCB 16 digit,11/18,1
950.44,3528487743409324,VISA 16 digit,07/18,12
1040.57,5116443903001727,Discover,01/22,12
940.01,4827958123389589,Mastercard,02/20,1
650.58,370701497519657,Mastercard,12/18,12
970.7,5197832531513305,Discover,01/22,12
910.92,30570537794360,VISA 13 digit,04/19,12
870.12,4939502253102,JCB 15 digit,06/18,12
920.21,4083110997950786,JCB 16 digit,06/20,12
740.69,341394262726800,VISA 16 digit,12/21,12
800.72,30178551132291,Mastercard,07/18,1
1200.33,210007281684382,Mastercard,10/20,12
1070.77,676299667425,JCB 15 digit,07/21,12
1070.42,4874263853724986,JCB 15 digit,04/24,12
1130.55,347019451857306,VISA 16 digit,10/20,1
920.97,180091630519594,VISA 16 digit,01/21,12
640.93,4909659565178842,JCB 15 digit,12/23,12
1200.62,676174495496,JCB 16 digit,03/21,12
1190.76,342618357130653,Mastercard,06/22,1
1020.01,4917434338680007,VISA 16 digit,05/19,1
1060.69,4239670335207,Diners Club / Carte Blanche,07/18,12
760.2,375693986357480,VISA 16 digit,03/20,12
660.51,3337762712728057,American Express,08/22,12
1070.02,4433012862941,JCB 15 digit,01/23,1
600.31,4758831627800869,Maestro,10/18,12
810.86,3112296641289049,Mastercard,11/18,12
880.81,869948160711123,VISA 16 digit,10/21,12
1070.44,371964539873537,VISA 16 digit,01/22,12
740.06,869947132484470,Discover,05/19,12
880.92,30261940685623,JCB 15 digit,09/19,1
870.38,30529598491472,JCB 15 digit,03/21,12
680.96,4105139765329307,Voyager,11/20,12
970.65,376434944111118,VISA 16 digit,04/20,1
840.11,6011612375875370,Discover,05/20,12
1110.75,4535184032295360,Mastercard,12/20,12
1110.92,6011763017023182,Maestro,06/18,12
740.48,5376774857697655,VISA 16 digit,06/19,1
1140.97,6011641735470432,Mastercard,12/18,12
620.87,6011660559791434,JCB 16 digit,09/20,1
1090.39,4382401703794842,Mastercard,06/18,1
1050.74,4391029492506033,JCB 15 digit,11/18,12
1150.91,210048353521508,Voyager,04/22,1
700.71,3088007767494093,VISA 16 digit,02/27,12
1020.82,3112176599062897,VISA 13 digit,10/20,12
1110.6,4859934306462684,VISA 16 digit,12/18,12
800.21,3158281280905035,VISA 13 digit,10/25,12
1090.14,180060465385157,VISA 16 digit,05/18,12
800.75,4678221662635601,Discover,08/22,12
850.41,3096191588235388,JCB 15 digit,05/18,12
730.47,4344537130344,Mastercard,04/21,12
1060.58,869942924724233,Voyager,11/18,1
730.42,4695138088024690,Discover,07/25,1
