numeropol,cout_prime,credit_card_number,credit_card_provider,credit_card_expire,freq_pmt
1,1060.28,4.4274761E15,Voyager,01APR23:00:00:00,12
5,1200.89,5.3033891E15,JCB 16 digit,01AUG26:00:00:00,1
13,940.54,3.5285692E15,Maestro,01AUG22:00:00:00,12
16,860.75,6.0115698E15,VISA 13 digit,01MAR23:00:00:00,1
22,790.17,5.2624946E15,Maestro,01AUG20:00:00:00,1
28,940.16,4.5833637E15,Discover,01MAR20:00:00:00,1
29,1130.39,4.2026745E15,Diners Club / Carte Blanche,01MAY18:00:00:00,1
49,910.95,3.0880155E15,VISA 16 digit,01MAR19:00:00:00,12
53,610.03,4.8279215E12,VISA 13 digit,01MAY24:00:00:00,12
57,610.78,4.6030848E15,JCB 15 digit,01FEB21:00:00:00,1
59,970.88,5.4892512E15,VISA 16 digit,01JUN23:00:00:00,1
65,1130.63,3.4577393E14,American Express,01NOV17:00:00:00,1
67,930.69,3.5287674E15,JCB 15 digit,01AUG24:00:00:00,1
68,860.49,4.7309229E15,Mastercard,01APR20:00:00:00,1
69,720.57,4.5308014E15,Discover,01MAY19:00:00:00,1
72,990.47,5.2042149E15,Diners Club / Carte Blanche,01JUN22:00:00:00,1
78,1140.81,2.1007644E14,JCB 15 digit,01FEB19:00:00:00,12
83,1080.98,3.0536255E13,VISA 13 digit,01FEB20:00:00:00,12
84,940.96,6.0117188E15,VISA 16 digit,01MAY18:00:00:00,1
91,1000.45,5.4070362E15,VISA 16 digit,01SEP18:00:00:00,1
92,1050.8,4.8747852E15,VISA 16 digit,01NOV19:00:00:00,1
96,1190.59,5.3446364E15,Mastercard,01MAY23:00:00:00,1
100,660.44,4.5344639E12,Maestro,01MAR20:00:00:00,12
102,930.75,3.4439124E14,JCB 16 digit,01SEP18:00:00:00,12
112,1190.58,4.148316E15,Voyager,01MAR20:00:00:00,1
113,720.5,4.5079075E15,Discover,01MAR21:00:00:00,1
114,810.21,3.528413E15,Maestro,01NOV17:00:00:00,1
115,1060.57,6.0119238E15,VISA 16 digit,01SEP18:00:00:00,1
119,1200.79,5.2203182E15,Voyager,01MAR25:00:00:00,12
121,950.48,3.1589606E15,JCB 15 digit,01APR21:00:00:00,12
124,800.57,4.5866487E15,JCB 16 digit,01FEB23:00:00:00,12
126,960.24,5.1279742E15,Discover,01MAY20:00:00:00,1
130,770.3,4.4185641E15,VISA 13 digit,01SEP18:00:00:00,1
136,980.1,4.6350913E15,Discover,01APR20:00:00:00,1
146,1150.32,5.3252926E15,JCB 16 digit,01APR26:00:00:00,1
152,830,3.0533044E13,Diners Club / Carte Blanche,01NOV18:00:00:00,1
153,610.3,4.3957713E15,American Express,01JAN23:00:00:00,12
157,790.2,4.2815591E12,VISA 16 digit,01SEP19:00:00:00,1
158,1180.48,4.48258E15,VISA 13 digit,01AUG21:00:00:00,12
163,970.63,4.6780321E15,VISA 16 digit,01APR19:00:00:00,1
169,830.53,4.1955516E15,VISA 16 digit,01FEB20:00:00:00,1
171,720.29,4.8659957E12,VISA 16 digit,01JAN19:00:00:00,1
172,930.86,5.408687E15,Discover,01MAR24:00:00:00,1
173,690.78,5.5093552E15,JCB 16 digit,01AUG18:00:00:00,1
183,1180.51,6.0116632E15,Maestro,01AUG18:00:00:00,12
192,1110.48,6.0119588E15,Maestro,01DEC17:00:00:00,1
197,790.21,8.6990533E14,Diners Club / Carte Blanche,01JAN25:00:00:00,1
204,900.63,3.0883247E15,Maestro,01FEB18:00:00:00,1
206,650.9,3.0403723E13,JCB 16 digit,01MAY22:00:00:00,12
209,1060.91,4.6619942E15,Diners Club / Carte Blanche,01OCT18:00:00:00,1
211,1200.16,3.1586501E15,Voyager,01MAY24:00:00:00,1
231,1170.64,4.4496996E15,VISA 16 digit,01JAN20:00:00:00,12
