numeropol,cout_prime,credit_card_number,credit_card_provider,credit_card_expire,freq_pmt
1,1060.28,4427476122079204,Voyager,04/23,12
5,1200.89,5303389118829803,JCB 16 digit,08/26,1
13,940.54,3528569220298609,Maestro,08/22,12
16,860.75,6011569844297463,VISA 13 digit,03/23,1
22,790.17,5262494607909477,Maestro,08/20,1
28,940.16,4583363660367219,Discover,03/20,1
29,1130.39,4202674531543189,Diners Club / Carte Blanche,05/18,1
49,910.95,3088015510126516,VISA 16 digit,03/19,12
53,610.03,4827921524692,VISA 13 digit,05/24,12
57,610.78,4603084779019352,JCB 15 digit,02/21,1
59,970.88,5489251176082616,VISA 16 digit,06/23,1
65,1130.63,345773926095270,American Express,11/17,1
67,930.69,3528767406559196,JCB 15 digit,08/24,1
68,860.49,4730922920640251,Mastercard,04/20,1
69,720.57,4530801401767373,Discover,05/19,1
72,990.47,5204214868737792,Diners Club / Carte Blanche,06/22,1
78,1140.81,210076436491613,JCB 15 digit,02/19,12
83,1080.98,30536255432582,VISA 13 digit,02/20,12
84,940.96,6011718841912083,VISA 16 digit,05/18,1
91,1000.45,5407036228868990,VISA 16 digit,09/18,1
92,1050.8,4874785179778007,VISA 16 digit,11/19,1
96,1190.59,5344636389130845,Mastercard,05/23,1
100,660.44,4534463895270,Maestro,03/20,12
102,930.75,344391241349917,JCB 16 digit,09/18,12
112,1190.58,4148315950557790,Voyager,03/20,1
113,720.5,4507907476678400,Discover,03/21,1
114,810.21,3528412999019999,Maestro,11/17,1
115,1060.57,6011923810014347,VISA 16 digit,09/18,1
119,1200.79,5220318238584097,Voyager,03/25,12
121,950.48,3158960585579518,JCB 15 digit,04/21,12
124,800.57,4586648704982545,JCB 16 digit,02/23,12
126,960.24,5127974188645371,Discover,05/20,1
130,770.3,4418564091348956,VISA 13 digit,09/18,1
136,980.1,4635091316749245,Discover,04/20,1
146,1150.32,5325292622666196,JCB 16 digit,04/26,1
152,830.0,30533044342966,Diners Club / Carte Blanche,11/18,1
153,610.3,4395771306899577,American Express,01/23,12
157,790.2,4281559129186,VISA 16 digit,09/19,1
158,1180.48,4482579967780695,VISA 13 digit,08/21,12
163,970.63,4678032058853124,VISA 16 digit,04/19,1
169,830.53,4195551606468618,VISA 16 digit,02/20,1
171,720.29,4865995708338,VISA 16 digit,01/19,1
172,930.86,5408686962089515,Discover,03/24,1
173,690.78,5509355246199791,JCB 16 digit,08/18,1
183,1180.51,6011663170507528,Maestro,08/18,12
192,1110.48,6011958800933833,Maestro,12/17,1
197,790.21,869905331485896,Diners Club / Carte Blanche,01/25,1
204,900.63,3088324658756583,Maestro,02/18,1
206,650.9,30403722941457,JCB 16 digit,05/22,12
209,1060.91,4661994238238691,Diners Club / Carte Blanche,10/18,1
211,1200.16,3158650090016821,Voyager,05/24,1
231,1170.64,4449699581247442,VISA 16 digit,01/20,12
234,670.44,4007219899097696,JCB 15 digit,09/18,1
235,600.93,501823518185,Maestro,05/18,1
236,990.31,344929766022029,American Express,02/18,1
237,1170.42,345372320738484,Discover,11/17,12
246,950.3,4090776562207777,VISA 13 digit,03/19,1
257,920.04,4212847159101450,VISA 16 digit,02/23,1
258,720.48,4252139824991726,Diners Club / Carte Blanche,10/21,1
261,660.46,4069197554940100,JCB 15 digit,02/19,1
267,1000.04,5123810302464212,American Express,11/19,1
268,1040.07,869987692625906,Voyager,01/22,1
269,1060.25,5376262241312736,American Express,07/22,1
270,880.72,4266002153608465,VISA 16 digit,08/22,1
271,770.54,3112957312540214,JCB 16 digit,08/18,1
279,1080.43,3096177427357038,American Express,09/18,1
282,690.95,4206357188449,Discover,04/19,1
